Years.Initial,Years.Prolonged,Life.Total,No.Reg.TOC,No.Reg.OC.Yearly,Regeneration.Costs,"Regener. 
costs [€]",Regener. cost yearly,Ownership costs total,Ownership costs yearly...10,"Diff 
[€/year]","Diff 
[%/year]",Savings.Lifetime
6,2,8,186,31,30,60,30,246,30.75,0.25,0.008064516129032251,2
7,2,9,186,26.571428571428573,30,60,30,246,27.333333333333332,-0.7619047619047592,-0.028673835125447855,-6.857142857142833
8,2,10,186,23.25,30,60,30,246,24.6,-1.3500000000000014,-0.058064516129032295,-13.500000000000014
9,2,11,186,20.666666666666668,30,60,30,246,22.363636363636363,-1.6969696969696955,-0.08211143695014655,-18.66666666666665
10,2,12,186,18.6,30,60,30,246,20.5,-1.8999999999999986,-0.10215053763440851,-22.799999999999983
5,3,8,186,37.2,30,60,20,246,30.75,6.450000000000003,0.17338709677419362,51.60000000000002
6,3,9,186,31,30,60,20,246,27.333333333333332,3.666666666666668,0.11827956989247312,33.000000000000014
7,3,10,186,26.571428571428573,30,60,20,246,24.6,1.9714285714285715,0.0741935483870968,19.714285714285715
8,3,11,186,23.25,30,60,20,246,22.363636363636363,0.8863636363636367,0.038123167155425186,9.750000000000004
9,3,12,186,20.666666666666668,30,60,20,246,20.5,0.16666666666666785,0.008064516129032362,2.000000000000014
10,3,13,186,18.6,30,60,20,246,18.923076923076923,-0.32307692307692193,-0.017369727047146233,-4.199999999999985
5,4,9,186,37.2,30,60,15,246,27.333333333333332,9.86666666666667,0.2652329749103943,88.80000000000004
6,4,10,186,31,30,60,15,246,24.6,6.399999999999999,0.20645161290322578,63.999999999999986
7,4,11,186,26.571428571428573,30,60,15,246,22.363636363636363,4.20779220779221,0.15835777126099715,46.285714285714306
8,4,12,186,23.25,30,60,15,246,20.5,2.75,0.11827956989247312,33
9,4,13,186,20.666666666666668,30,60,15,246,18.923076923076923,1.7435897435897445,0.08436724565756826,22.66666666666668
10,4,14,186,18.6,30,60,15,246,17.571428571428573,1.0285714285714285,0.055299539170506895,14.399999999999999
5,5,10,186,37.2,30,60,12,246,24.6,12.600000000000001,0.33870967741935487,126.00000000000001
6,5,11,186,31,30,60,12,246,22.363636363636363,8.636363636363637,0.2785923753665689,95
7,5,12,186,26.571428571428573,30,60,12,246,20.5,6.071428571428573,0.228494623655914,72.85714285714288
8,5,13,186,23.25,30,60,12,246,18.923076923076923,4.326923076923077,0.18610421836228286,56.25
9,5,14,186,20.666666666666668,30,60,12,246,17.571428571428573,3.095238095238095,0.14976958525345618,43.33333333333333
10,5,15,186,18.6,30,60,12,246,16.4,2.200000000000003,0.11827956989247324,33.00000000000004
5,1,6,186,37.2,40,80,80,266,44.333333333333336,-7.133333333333333,-0.19175627240143367,-42.8
6,1,7,186,31,40,80,80,266,38,-7,-0.22580645161290325,-49
7,1,8,186,26.571428571428573,40,80,80,266,33.25,-6.678571428571427,-0.25134408602150526,-53.428571428571416
8,1,9,186,23.25,40,80,80,266,29.555555555555557,-6.305555555555557,-0.27120669056152935,-56.750000000000014
9,1,10,186,20.666666666666668,40,80,80,266,26.6,-5.933333333333334,-0.2870967741935484,-59.333333333333336
10,1,11,186,18.6,40,80,80,266,24.181818181818183,-5.581818181818182,-0.3000977517106549,-61.400000000000006
5,2,7,186,37.2,40,80,40,266,38,-0.7999999999999972,-0.021505376344086002,-5.59999999999998
6,2,8,186,31,40,80,40,266,33.25,-2.25,-0.07258064516129026,-18
7,2,9,186,26.571428571428573,40,80,40,266,29.555555555555557,-2.984126984126984,-0.11230585424133821,-26.857142857142858
8,2,10,186,23.25,40,80,40,266,26.6,-3.3500000000000014,-0.1440860215053763,-33.500000000000014
9,2,11,186,20.666666666666668,40,80,40,266,24.181818181818183,-3.5151515151515156,-0.1700879765395895,-38.66666666666667
10,2,12,186,18.6,40,80,40,266,22.166666666666668,-3.5666666666666664,-0.19175627240143367,-42.8
5,3,8,186,37.2,40,80,26.666666666666668,266,33.25,3.950000000000003,0.10618279569892475,31.600000000000023
6,3,9,186,31,40,80,26.666666666666668,266,29.555555555555557,1.4444444444444429,0.04659498207885304,12.999999999999986
7,3,10,186,26.571428571428573,40,80,26.666666666666668,266,26.6,-0.02857142857142847,-0.0010752688172042113,-0.2857142857142847
8,3,11,186,23.25,40,80,26.666666666666668,266,24.181818181818183,-0.9318181818181834,-0.040078201368523914,-10.250000000000018
9,3,12,186,20.666666666666668,40,80,26.666666666666668,266,22.166666666666668,-1.5,-0.07258064516129026,-18
10,3,13,186,18.6,40,80,26.666666666666668,266,20.46153846153846,-1.8615384615384585,-0.10008271298593852,-24.19999999999996
5,4,9,186,37.2,40,80,20,266,29.555555555555557,7.644444444444446,0.20549581839904418,68.80000000000001
6,4,10,186,31,40,80,20,266,26.6,4.399999999999999,0.14193548387096766,43.999999999999986
7,4,11,186,26.571428571428573,40,80,20,266,24.181818181818183,2.3896103896103895,0.08993157380254158,26.285714285714285
8,4,12,186,23.25,40,80,20,266,22.166666666666668,1.0833333333333321,0.04659498207885304,12.999999999999986
9,4,13,186,20.666666666666668,40,80,20,266,20.46153846153846,0.20512820512820795,0.00992555831265518,2.6666666666667034
10,4,14,186,18.6,40,80,20,266,19,-0.3999999999999986,-0.021505376344086002,-5.59999999999998
5,5,10,186,37.2,40,80,16,266,26.6,10.600000000000001,0.28494623655913975,106.00000000000001
6,5,11,186,31,40,80,16,266,24.181818181818183,6.818181818181817,0.21994134897360695,74.99999999999999
7,5,12,186,26.571428571428573,40,80,16,266,22.166666666666668,4.404761904761905,0.16577060931899645,52.85714285714286
8,5,13,186,23.25,40,80,16,266,20.46153846153846,2.78846153846154,0.11993382961124899,36.25000000000002
9,5,14,186,20.666666666666668,40,80,16,266,19,1.6666666666666679,0.08064516129032262,23.33333333333335
10,5,15,186,18.6,40,80,16,266,17.733333333333334,0.8666666666666671,0.04659498207885304,13.000000000000007
